t,r
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_003_tutankhamun
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,http://purl.org/acoli/open-ie/tomb
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_001_tomb,"The tomb of Tutankhamun , the king of ancient Egypt who became famous when Howard Carter discovered his tomb nearly intact in 1922 ,"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_003_tutankhamun,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_003_tutankhamun,"Tutankhamun , the king of ancient Egypt who became famous when Howard Carter discovered his tomb nearly intact in 1922 ,"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,_:t716
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,_:t716
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_009_egypt
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,http://purl.org/acoli/open-ie/king
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_006_king,"the king of ancient Egypt who became famous when Howard Carter discovered his tomb nearly intact in 1922"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_009_egypt,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_009_egypt,http://purl.org/acoli/open-ie/ancient
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_009_egypt,"ancient Egypt"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_012_famous,"famous"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_015_carter,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_015_carter,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_018_tomb
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_015_carter,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_018_tomb
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_015_carter,"Howard Carter"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_016_discover,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_022_1922
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_016_discover,http://purl.org/acoli/open-ie/intact
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_016_discover,http://purl.org/acoli/open-ie/discover
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_016_discover,"when Howard Carter discovered his tomb nearly intact in 1922"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_017_his,"his"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_018_tomb,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_018_tomb,http://purl.org/acoli/open-ie/tomb
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_018_tomb,"his tomb"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_020_intact,"nearly intact"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_022_1922,http://purl.org/acoli/open-ie/number
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_022_1922,"1922"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic,http://purl.org/acoli/open-ie/hot
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic,http://purl.org/acoli/open-ie/topic
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n0_028_topic,"a hot topic"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_001_s,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_020_publish
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_001_s,http://purl.org/acoli/open-ie/s
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_001_s,"That 's because Dr Nicholas Reeves , an eminent Egyptologist and former director of the Amarna Royal Tombs Project , published a paper demonstrating how behind the walls of this small tomb , there were more rooms as demonstrated by thin cracks in the decorative paintings ."
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_005_reeve,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_005_reeve,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_005_reeve,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_005_reeve,"Dr Nicholas Reeves , an eminent Egyptologist and former director of the Amarna Royal Tombs Project ,"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_011_former,"former"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,_:t719
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,_:t719
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,http://purl.org/acoli/open-ie/former
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,http://purl.org/acoli/open-ie/director
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_012_director,"former director"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_020_publish,http://purl.org/acoli/open-ie/publish
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_020_publish,"Dr Nicholas Reeves , an eminent Egyptologist and former director of the Amarna Royal Tombs Project , published a paper demonstrating how behind the walls of this small tomb , there were more rooms as demonstrated by thin cracks in the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper,_:t720
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper,_:t720
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper,http://purl.org/acoli/open-ie/paper
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_022_paper,"a paper demonstrating how behind the walls of this small tomb , there were more rooms as demonstrated by thin cracks in the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_036_rooms,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_038_demonstrate
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_036_rooms,http://purl.org/acoli/open-ie/rooms
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_036_rooms,"more rooms as demonstrated by thin cracks in the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_038_demonstrate,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_041_crack
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_038_demonstrate,http://purl.org/acoli/open-ie/demonstrate
